Time(s)	kb1X	kb1Y	kb2X	kb2Y	kb3X	kb3Y	kb4X	kb4Y	kb5X	kb5Y	kb6X	kb6Y	kb7X	kb7Y	kb8X	kb8Y	kb9X	kb9Y	kb10X	kb10Y	kb11X	kb11Y	kb12X	kb12Y	kb13X	kb13Y	kb14X	kb14Y	kb15X	kb15Y	kb16X	kb16Y	kb17X	kb17Y	kb18X	kb18Y	kb19X	kb19Y	kb20X	kb20Y	kb21X	kb21Y	kb22X	kb22Y	kb23X	kb23Y	kb24X	kb24Y	kb25X	kb25Y	
45	0.823517	1.00563	0.785183	0.942703	0.736126	0.881228	0.684256	0.825769	0.631108	0.777462	0.770866	1.04419	0.732663	0.984099	0.685794	0.924227	0.634369	0.871618	0.58185	0.824173	0.71908	1.09101	0.683249	1.02836	0.637863	0.974904	0.587485	0.923428	0.5337	0.87461	0.674051	1.11464	0.629933	1.07384	0.584584	1.02683	0.536919	0.975004	0.481943	0.92488	0.629846	1.15934	0.580024	1.12188	0.533818	1.07317	0.483391	1.02386	0.433698	0.97397	
46	0.826179	1.00508	0.787682	0.942178	0.738811	0.880593	0.686797	0.824951	0.633296	0.776561	0.773476	1.04331	0.735326	0.983466	0.688348	0.923544	0.636952	0.870658	0.584396	0.823113	0.720902	1.09007	0.684734	1.02821	0.639232	0.974422	0.589956	0.922528	0.536237	0.873664	0.675823	1.11266	0.632491	1.0729	0.587152	1.02575	0.539398	0.974152	0.484558	0.923924	0.632425	1.15818	0.582622	1.12077	0.536431	1.0721	0.486016	1.02282	0.436322	0.972942	
47	0.832834	1.00365	0.794344	0.940806	0.745445	0.879005	0.693309	0.822841	0.639422	0.773682	0.779815	1.04105	0.741882	0.981907	0.694891	0.921752	0.643279	0.868283	0.59056	0.820428	0.72585	1.08789	0.691416	1.02711	0.645737	0.972239	0.596369	0.920197	0.542545	0.871261	0.680201	1.10779	0.638797	1.07045	0.593375	1.02316	0.545867	0.971962	0.490844	0.921597	0.638516	1.15524	0.588804	1.11801	0.542657	1.06944	0.492289	1.02034	0.442585	0.970304	
48	0.839174	1.00234	0.800688	0.939557	0.751765	0.877549	0.699527	0.820916	0.645266	0.770995	0.785856	1.03896	0.748124	0.980485	0.701125	0.920102	0.649311	0.866078	0.596438	0.817928	0.730797	1.08594	0.69778	1.02613	0.651941	0.970217	0.602493	0.918054	0.548558	0.869029	0.684091	1.1046	0.644812	1.06817	0.599313	1.02076	0.552036	0.969932	0.496834	0.919438	0.644311	1.15246	0.594705	1.11545	0.5486	1.06697	0.49828	1.01806	0.448564	0.967858	
49	0.844571	1.00288	0.806074	0.940143	0.757188	0.877948	0.704987	0.820957	0.650606	0.770294	0.790416	1.03891	0.751759	0.980486	0.706522	0.920323	0.65468	0.865814	0.601752	0.817389	0.736208	1.08644	0.703106	1.02695	0.657418	0.970148	0.60793	0.917889	0.553917	0.868742	0.688543	1.10224	0.650113	1.06701	0.604653	1.02033	0.557451	0.969831	0.502149	0.91921	0.649625	1.15162	0.600056	1.11484	0.553966	1.06649	0.503633	1.01775	0.453956	0.967401	
50	0.847783	1.00441	0.810386	0.942309	0.762269	0.879991	0.710158	0.822825	0.655797	0.771784	0.795241	1.04092	0.755826	0.98256	0.711551	0.922383	0.659835	0.867448	0.606878	0.818959	0.741142	1.08881	0.707542	1.02897	0.662649	0.971893	0.613193	0.919412	0.55908	0.870328	0.692456	1.10114	0.654558	1.06589	0.607549	1.02103	0.56153	0.970929	0.507261	0.920802	0.654851	1.15296	0.605218	1.11644	0.559097	1.06819	0.508756	1.01944	0.459097	0.969146	
51	0.852865	1.00623	0.815691	0.943406	0.76768	0.880512	0.715603	0.823251	0.661153	0.772337	0.798903	1.04202	0.761074	0.983625	0.716909	0.923047	0.665203	0.867706	0.612195	0.819456	0.743832	1.08951	0.710981	1.02997	0.668119	0.972159	0.618633	0.919408	0.564442	0.870524	0.69641	1.09832	0.659044	1.06358	0.61284	1.02187	0.566975	0.970913	0.512577	0.920993	0.660215	1.15337	0.610565	1.11708	0.564436	1.06891	0.514104	1.01984	0.464449	0.969944	
52	0.856959	1.00609	0.81976	0.942863	0.771722	0.879692	0.719613	0.822225	0.665067	0.771227	0.801747	1.04138	0.765077	0.982993	0.720912	0.922197	0.669113	0.866562	0.616068	0.818319	0.745411	1.08872	0.712034	1.02968	0.670885	0.971524	0.622561	0.918152	0.568311	0.869277	0.699466	1.09566	0.661791	1.0616	0.61679	1.02098	0.570893	0.969611	0.516418	0.919765	0.664086	1.15213	0.614504	1.11604	0.568386	1.06792	0.517991	1.01867	0.468431	0.969008	
53	0.861405	1.00509	0.823964	0.942105	0.776356	0.878695	0.724122	0.820916	0.669277	0.769491	0.806189	1.03986	0.769615	0.981966	0.725314	0.921119	0.673607	0.865087	0.620398	0.816461	0.748414	1.08766	0.715697	1.02895	0.674568	0.970563	0.626554	0.916797	0.572678	0.86764	0.702976	1.09286	0.665058	1.05893	0.621193	1.01916	0.575297	0.968022	0.520857	0.918113	0.668302	1.14992	0.618884	1.11405	0.572762	1.06601	0.522427	1.01688	0.472852	0.967155	
54	0.868057	1.00373	0.830666	0.940943	0.783023	0.87725	0.7307	0.819022	0.675504	0.76684	0.812558	1.03769	0.776191	0.980497	0.7319	0.919493	0.680024	0.862967	0.626569	0.813793	0.753085	1.08612	0.721038	1.02774	0.681206	0.968825	0.633017	0.914607	0.578988	0.865244	0.707888	1.08933	0.669824	1.0553	0.627429	1.01659	0.581726	0.965716	0.527135	0.915762	0.674275	1.14675	0.625057	1.11127	0.57897	1.0633	0.52869	1.01437	0.479119	0.964527	
55	0.8738	1.0031	0.836459	0.940501	0.788811	0.87656	0.736458	0.817971	0.68101	0.765089	0.816244	1.03663	0.780961	0.979712	0.73763	0.918642	0.685647	0.861686	0.632023	0.812027	0.757975	1.08595	0.726296	1.02741	0.687	0.967887	0.638698	0.91329	0.584541	0.86372	0.712401	1.08673	0.67441	1.05237	0.632922	1.01487	0.587385	0.964277	0.53265	0.914278	0.679577	1.14446	0.63052	1.10938	0.584466	1.06151	0.534218	1.01277	0.484662	0.962806	
56	0.878954	1.00478	0.839898	0.941516	0.794039	0.878093	0.741782	0.819228	0.686363	0.765676	0.819525	1.0381	0.783023	0.980671	0.742327	0.919974	0.690927	0.862708	0.637335	0.812584	0.762813	1.08849	0.731327	1.02938	0.692308	0.969259	0.644054	0.914288	0.58985	0.864518	0.717636	1.08567	0.677822	1.05079	0.638236	1.01391	0.589909	0.964347	0.537906	0.915106	0.684958	1.14446	0.635886	1.10983	0.589823	1.06209	0.539524	1.01354	0.490034	0.963456	
57	0.881862	1.0063	0.844816	0.943826	0.799224	0.879778	0.747072	0.82065	0.69149	0.767394	0.824437	1.04025	0.787874	0.982976	0.747424	0.921801	0.696121	0.864148	0.642477	0.81409	0.767715	1.09088	0.733499	1.0302	0.697536	0.970945	0.649383	0.91546	0.595081	0.865784	0.722998	1.08581	0.678864	1.05024	0.643401	1.01243	0.593831	0.965222	0.543061	0.91648	0.69024	1.14559	0.641107	1.11123	0.594949	1.06381	0.544693	1.01503	0.495159	0.965264	
58	0.887222	1.00713	0.850235	0.943981	0.804659	0.879338	0.752495	0.819919	0.696858	0.766981	0.829243	1.04044	0.793226	0.983156	0.752821	0.921454	0.701454	0.863418	0.647776	0.813432	0.772448	1.09057	0.734475	1.02994	0.700064	0.970684	0.653176	0.915022	0.600367	0.86485	0.728242	1.0846	0.682941	1.04668	0.647898	1.00944	0.599211	0.964384	0.548319	0.915672	0.695519	1.14456	0.646438	1.11045	0.600324	1.06344	0.550013	1.01435	0.500562	0.964963	
59	0.889265	1.00664	0.852213	0.943651	0.80726	0.87886	0.755048	0.819246	0.699337	0.766133	0.831767	1.03978	0.795655	0.982711	0.754726	0.921061	0.704009	0.862709	0.650255	0.812452	0.775071	1.08997	0.736252	1.02965	0.702115	0.970246	0.655086	0.914484	0.602775	0.863982	0.730891	1.08398	0.684837	1.04526	0.650024	1.00798	0.60175	0.963382	0.55082	0.914663	0.697772	1.14335	0.648908	1.10924	0.602885	1.06243	0.552519	1.01327	0.503122	0.964003	
60	0.895404	1.00523	0.858897	0.942678	0.813967	0.877617	0.761668	0.817501	0.705683	0.763779	0.838252	1.03798	0.802291	0.98154	0.761347	0.919702	0.710514	0.860874	0.656473	0.809893	0.781666	1.08864	0.741175	1.02892	0.708339	0.969007	0.661651	0.912628	0.609099	0.861623	0.737427	1.08239	0.689551	1.04219	0.655569	1.00415	0.608107	0.960885	0.557024	0.912126	0.703547	1.13983	0.65489	1.10607	0.6091	1.05974	0.558677	1.01051	0.509383	0.961362	
61	0.901771	1.004	0.865385	0.941768	0.820432	0.876447	0.768059	0.815876	0.711803	0.761538	0.844502	1.03628	0.808056	0.98047	0.767752	0.918417	0.716784	0.859133	0.662469	0.807454	0.787961	1.08733	0.745965	1.0281	0.71417	0.967814	0.667989	0.910888	0.615198	0.859379	0.743727	1.0809	0.694209	1.03943	0.660929	1.00049	0.614241	0.958504	0.563006	0.909709	0.70909	1.13642	0.660664	1.10304	0.6151	1.05719	0.56463	1.00792	0.515429	0.958855	
