Time(s)	kb1X	kb1Y	kb2X	kb2Y	kb3X	kb3Y	kb4X	kb4Y	kb5X	kb5Y	kb6X	kb6Y	kb7X	kb7Y	kb8X	kb8Y	kb9X	kb9Y	kb10X	kb10Y	kb11X	kb11Y	kb12X	kb12Y	kb13X	kb13Y	kb14X	kb14Y	kb15X	kb15Y	kb16X	kb16Y	kb17X	kb17Y	kb18X	kb18Y	kb19X	kb19Y	kb20X	kb20Y	kb21X	kb21Y	kb22X	kb22Y	kb23X	kb23Y	kb24X	kb24Y	kb25X	kb25Y	
11	0.655201	1.0035	0.609723	0.949465	0.559723	0.898825	0.509426	0.849279	0.458918	0.800956	0.608916	1.04663	0.559862	0.999023	0.510145	0.948173	0.459643	0.897963	0.408799	0.848125	0.560268	1.09849	0.510101	1.04957	0.46076	0.998826	0.410182	0.948845	0.359064	0.898864	0.509074	1.14885	0.459787	1.09965	0.409392	1.04936	0.35999	0.998641	0.308341	0.948989	0.458317	1.19746	0.409358	1.14899	0.359231	1.09868	0.308795	1.04868	0.258696	0.99855	
12	0.66048	1.00474	0.615139	0.949581	0.565157	0.898956	0.514884	0.849487	0.464272	0.801529	0.612938	1.04688	0.565216	0.998967	0.515538	0.947917	0.465012	0.897735	0.414137	0.848225	0.565706	1.09839	0.515489	1.0494	0.466229	0.998533	0.415615	0.948559	0.364429	0.898759	0.514415	1.14888	0.46517	1.09951	0.414744	1.04911	0.365429	0.998361	0.31366	0.948926	0.463695	1.19743	0.414744	1.149	0.364617	1.09855	0.314156	1.04853	0.264105	0.998731	
13	0.663544	1.00441	0.618087	0.948682	0.568097	0.898003	0.517851	0.848577	0.467246	0.800814	0.615131	1.046	0.568095	0.997971	0.518438	0.946889	0.467895	0.896705	0.417027	0.84729	0.568605	1.09731	0.51839	1.04839	0.469183	0.997527	0.418538	0.947532	0.367322	0.897773	0.517294	1.14791	0.468069	1.09851	0.417639	1.04814	0.368363	0.997356	0.316528	0.947955	0.466571	1.19638	0.417644	1.148	0.367507	1.09752	0.317033	1.0475	0.267043	0.99781	
14	0.669323	1.00299	0.623121	0.946932	0.573302	0.895842	0.52286	0.846439	0.472587	0.798788	0.620303	1.04326	0.573611	0.995737	0.52407	0.944782	0.473489	0.894558	0.422552	0.845096	0.573955	1.09467	0.524007	1.04629	0.474858	0.995531	0.424208	0.945445	0.372918	0.89568	0.522791	1.14557	0.473665	1.09642	0.4233	1.04617	0.374009	0.995349	0.322095	0.945835	0.471954	1.19358	0.423205	1.14559	0.373116	1.09523	0.322642	1.04524	0.272607	0.995355	
15	0.675945	1.00141	0.629538	0.944675	0.579601	0.893225	0.529156	0.843752	0.478897	0.796339	0.626254	1.04012	0.57986	0.993218	0.530423	0.942403	0.479798	0.892135	0.428794	0.842597	0.580089	1.09168	0.530359	1.04394	0.481331	0.993254	0.430619	0.943109	0.379235	0.893301	0.528984	1.14295	0.480009	1.09406	0.429672	1.04397	0.380445	0.993062	0.328355	0.943438	0.477954	1.19046	0.429423	1.14291	0.37939	1.09268	0.328912	1.04276	0.278825	0.992613	
16	0.681482	1.00099	0.634998	0.943704	0.585016	0.891934	0.534587	0.842435	0.484285	0.795167	0.631439	1.03836	0.58521	0.992016	0.535845	0.941314	0.485186	0.891011	0.434131	0.841404	0.585424	1.09009	0.535777	1.04289	0.486849	0.992266	0.436093	0.942087	0.384621	0.892214	0.534299	1.14166	0.48542	1.09301	0.435079	1.04304	0.38593	0.992062	0.33369	0.942335	0.483181	1.18872	0.434776	1.14159	0.38477	1.09147	0.33428	1.0416	0.28419	0.991232	
17	0.685793	1.00235	0.64024	0.945081	0.590351	0.892991	0.539937	0.843528	0.489544	0.796329	0.636753	1.03893	0.590431	0.993152	0.541122	0.942501	0.490443	0.892169	0.439352	0.842529	0.590805	1.09088	0.541026	1.04415	0.492189	0.993552	0.441406	0.943329	0.389858	0.893421	0.53954	1.14269	0.490665	1.09427	0.440293	1.04434	0.391243	0.993323	0.338883	0.943518	0.488531	1.1893	0.440059	1.14263	0.390041	1.0926	0.33952	1.04277	0.289509	0.992228	
18	0.688942	1.00355	0.645442	0.946603	0.595629	0.894304	0.545208	0.844977	0.494671	0.79799	0.641969	1.04017	0.595616	0.994504	0.546429	0.943515	0.495727	0.89317	0.444508	0.843935	0.596126	1.09203	0.546309	1.04524	0.497583	0.994516	0.446777	0.94422	0.395115	0.894513	0.544745	1.1439	0.495941	1.09536	0.445565	1.04531	0.396609	0.994272	0.344091	0.944619	0.493804	1.19039	0.445284	1.14395	0.395304	1.09376	0.344779	1.04384	0.294729	0.993677	
19	0.694362	1.00375	0.65081	0.945836	0.600971	0.893281	0.550602	0.844119	0.500017	0.797355	0.646778	1.03949	0.600888	0.99357	0.55169	0.942254	0.500959	0.891907	0.449774	0.843048	0.601438	1.09086	0.551571	1.04406	0.502927	0.993241	0.452068	0.942896	0.40036	0.893343	0.54998	1.14284	0.501202	1.09419	0.450798	1.0441	0.401921	0.992997	0.349293	0.943478	0.499041	1.18916	0.450584	1.14299	0.400578	1.09265	0.350016	1.04266	0.300074	0.992831	
20	0.697234	1.00308	0.652978	0.945177	0.603451	0.892328	0.552888	0.843156	0.502434	0.796414	0.649235	1.03838	0.603511	0.992386	0.554424	0.941218	0.503684	0.890845	0.452471	0.841977	0.603722	1.08967	0.554275	1.04294	0.505611	0.992297	0.454825	0.941878	0.403077	0.892328	0.552676	1.14167	0.503912	1.09313	0.453578	1.04313	0.404632	0.992048	0.352032	0.942444	0.501686	1.18774	0.453311	1.14175	0.403339	1.09151	0.35279	1.04155	0.302829	0.991651	
